La sveglia ha suonato alle 7 del mattino.,The alarm clock rang at 7 am.,,,,,,Italian,English
"An­co­ra una vol­ta, Har­ry pro­vò a spie­ga­re.","Once again, Harry tried to explain.",,,,,,Italian,English
"«Se non rie­sci a te­ne­re a ba­da quel­la ci­vet­ta, do­vrà an­dar­se­ne!»","""If you can't keep that owl at bay, she'll have to go!""",,,,"te­ne­re a ba­da = keep at bay
ci­vet­ta = owl",,Italian,English
«Tre vol­te in una set­ti­ma­na!» tuo­nò dall’al­tra par­te del ta­vo­lo.,"""Three times in one week!"" he thundered from across the table.",,,,,,Italian,English
"Non era la pri­ma vol­ta che scop­pia­va un li­ti­gio du­ran­te la co­la­zio­ne, al nu­me­ro 4 di Pri­vet Dri­ve. Il si­gnor Ver­non Dur­sley era sta­to sve­glia­to all’al­ba da un fi­schio acu­tis­si­mo pro­ve­nien­te dal­la ca­me­ra di suo ni­po­te Har­ry.",It was not the first time an argument had broken out during breakfast at number 4 Privet Drive. Mr Vernon Dursley had been woken at dawn by a high-pitched whistle coming from his nephew Harry's room.,,,,"svegliare = to wake up
un fi­schio acu­tis­si­mo = a high-pitched whistle",,Italian,English
«Si an­no­ia» dis­se. «Ed­vi­ge è abi­tua­ta a vo­la­re all’aper­to.,"""She gets bored,"" he said. ""Hedwig is used to flying outdoors.",,"...
Se so­lo po­tes­si la­sciar­la li­be­ra di not­te...»",,,,Italian,English
«Ma mi hai pre­so per sce­mo?» rin­ghiò zio Ver­non,"""Do you take me for a fool?"" growled Uncle Vernon.",,,,,,Italian,English
un pez­zet­to di uo­vo frit­to im­pi­glia­to nei baf­fo­ni,a piece of fried egg caught in the whiskers,,,,"
baffone =
 (particularly when large or bushy)
 moustache
",,Italian,English
«So be­ne co­sa suc­ce­de­reb­be a la­sciar li­be­ro quell’ani­ma­le».,"""I know what would happen if we let that animal go free.""",,,,So be­ne co­sa suc­ce­de­reb­be a = I know what would happen to,,Italian,English
E scam­biò un’oc­chia­ta cu­pa con la mo­glie Pe­tu­nia.,And he exchanged a sombre glance with his wife Petunia.,,,,,,Italian,English
vorrei dare un’occhiata a quel libro,I'd like to have a look at that book,,,,,,Italian,English
"Har­ry ten­tò di re­pli­ca­re, ma le sue pa­ro­le fu­ro­no so­praf­fat­te da un rut­to lun­go e so­no­ro di suo cu­gi­no Dud­ley.","Harry tried to reply, but his words were overpowered by a long, loud belch from his cousin Dudley.",,,,,,Italian,English
