unos alaridos que destrozaban los <strong>tímpanos</strong>,eardrums,,,,,,Spanish,English
el muy tunante,the very naughty one,,,,also is rogue/villain/scoundrel<br>or young scamp (a un niño),,Spanish,English
"tío Vernon rechinando los dientes, su cara espantosamente cerca de la de Harry","Uncle Vernon grinding his teeth, his face frighteningly close to Harry's.",,,,,,Spanish,English
"desearás no haber nacido, mocoso","you'll wish you'd never been born, brat",,,,,,Spanish,English
"y escapando ágilmente del alcance de Harry, extrajo un grueso fajo de sobres del almohadón que llevaba puesto.","and nimbly escaping Harry's grasp, he pulled a thick bundle of envelopes from the cushion he was wearing.",,,,,,Spanish,English
"Este acuerdo, que marcaba un hito en las relaciones entre los dos países, se firmó solemnemente y sin estrépito.",This landmark agreement between the two countries was signed solemnly and without fanfare.,,,,hito = landmark/milestone,,Spanish,English
Ese mojón marca el límite de la propiedad.,This boundary marker marks the boundary of the property.,,,,mojón,,Spanish,English
con un destello demoníaco en sus ojos,with a demonic glint in his eye,,,,,,Spanish,English
podría acarrearle la expulsión del colegio,could lead to expulsion from school,,,,,,Spanish,English
El bibliotecario acarreaba una pila de libros.,The librarian was carrying a pile of books.,,,,,,Spanish,English
Tamara piensa solicitar asesoramiento jurídico por su despido indebido.,Tamara plans to seek legal advice for her wrongful dismissal.,,,asesorar,,,Spanish,English
No había indicios de que los Dursley se hubieran apiadado de él,There was no indication that the Dursleys had taken pity on him.,,,la piedad,,,Spanish,English
con el pelo cobrizo,with copper hair,,,,,,Spanish,English
mientras él yacía sobre un jergón,while he lay on a straw mattress,,,also palliasse hehe,,,Spanish,English
