Pisé el freno y las ruedas rechinaron.,I hit the brakes and the wheels squealed.,,,,,,Spanish,English
La puerta rechinó,! before,,,,,,Spanish,English
dijo apenado el elfo,said the elf in sorrow,,,,sorry/sad,,Spanish,English
—No —rogó Harry con voz ronca—. Se lo ruego…,"-No,"" pleaded Harry hoarsely, ""I beg you...",,,,,,Spanish,English
el estrépito,the crash/clatter/racket,,,,,,Spanish,English
El plato se hizo añicos,The plate shattered,,,,,,Spanish,English
"Dando un chasquido como el de un látigo, Dobby desapareció.","With a crack like a whip, Dobby disappeared.",,,,,,Spanish,English
Él le golpeó con un azote.,He hit him with a whip.,,,,,,Spanish,English
"Prometió a Harry que, en cuanto se fueran, lo desollaría vivo, y le puso una fregona en las manos.","He promised Harry that, as soon as they left, he would skin him alive, and he put a mop in Harry's hands.",,,,,,Spanish,English
un encantamiento planeador,"a gliding enchantment<br>(from ""hover charm"")",,,,,,Spanish,English
<strong>reincidir</strong> en el uso de la magia,"Volver a caer o incurrir en un error, falta o delito.",,,,,,Spanish,English
Asimismo le recordamos que se considera falta grave realizar cualquier actividad mágica que en[1] un riesgo de ser advertida por miembros de la comunidad no mágica o muggles,We also remind you that it is a serious offence to engage in any magical activity that carries a risk of being noticed by members of the non-magical or Muggle community.<br>---<br>[1] - entrañe,,,,entrañar = to entail/involve/carry with it,,Spanish,English
Dicho de una persona: Que se jacta. U. t. c. s.,Said of a person: who brags.<br>=<br>jactancioso,,,,,,Spanish,English
Puede perjudicar tu rendimiento.,It can harm your performance.,,Tanto trabajo puede perjudicar tu rendimiento.,,,,Spanish,English
se nota una mengua importante en el caudal de los ríos,you can tell there's a significant decline in river flows,,,menguar,,,Spanish,English
Los plagios menoscabaron su reputación.,Plagiarism undermined his reputation.,,,,,,Spanish,English
Los víveres se han mermado casi en su totalidad.,Food supplies are almost entirely depleted.,,Mermar la paga,,,,Spanish,English
lo más probable era que muriese de inanición,the most likely was that he would die of starvation.,,,,or inanition,,Spanish,English
un revestimiento áspero,a rough coating,,,la aspereza,also rugoso,,Spanish,English
¿Te ruge la panza?,Is your tummy rumbling?,,,,,,Spanish,English
y Dudley repiqueteaba los barrotes,and Dudley rattled the bars,,y Dudley repiqueteaba los barrotes de la jaula,,,,Spanish,English
